iter	MultiClass
424	0.1194214977
425	0.1193439953
426	0.1192960448
427	0.119238494
428	0.1190771045
429	0.1190069435
430	0.1189077032
431	0.1188183648
432	0.1187134175
433	0.1186308774
434	0.1185956343
435	0.1184668281
436	0.1184148777
437	0.1183413956
438	0.1182601994
439	0.1181598085
440	0.1180966293
441	0.1180284851
442	0.1179632899
443	0.1178322312
444	0.1177330606
445	0.1176533081
446	0.1175825978
447	0.1175315916
448	0.1174362729
449	0.1173737501
450	0.1173361421
451	0.1172513455
452	0.1171785798
453	0.1171026746
454	0.1169557071
455	0.1168319299
456	0.1167201876
457	0.1166582595
458	0.1166000588
459	0.1165265278
460	0.1164527647
461	0.1163664039
462	0.1162437065
463	0.1162153998
464	0.1161282389
465	0.1160708928
466	0.1159929968
467	0.1158783088
468	0.1157896582
469	0.1157086682
470	0.1156130679
471	0.1155217333
472	0.1154280011
473	0.1153425299
474	0.1152344161
475	0.1151915601
476	0.115114302
477	0.1150426783
478	0.1149720871
479	0.1148656526
480	0.1147773614
481	0.1146730854
482	0.1145880316
483	0.1145236505
484	0.11438639
485	0.1142812723
486	0.1141544112
487	0.1140781131
488	0.1139569938
489	0.1139185193
490	0.1138564273
491	0.1137297976
492	0.1136545726
493	0.1135409067
494	0.1133779611
495	0.1132945361
496	0.1132211118
497	0.1131693761
498	0.1130819952
499	0.1129982067
