iter	MultiClass
0	1.033355524
1	0.9728365214
2	0.9195837177
3	0.8713164313
4	0.8260765166
5	0.7864341924
6	0.7496329642
7	0.7180014031
8	0.6865932642
9	0.6570753992
10	0.6307682001
11	0.6058614971
12	0.5829386634
13	0.5612115161
14	0.5409064759
15	0.5222274527
16	0.5040726306
17	0.4876552569
18	0.4721962996
19	0.4582753156
20	0.4452281869
21	0.4319319731
22	0.4200995709
23	0.4086563896
24	0.3974421916
25	0.3868845697
26	0.37662034
27	0.3673735399
28	0.3581793568
29	0.3501810981
30	0.3420079309
31	0.3347475038
32	0.3272669519
33	0.3208860362
34	0.3143930545
35	0.3079027374
36	0.3017305873
37	0.295906254
38	0.2903079751
39	0.2848491861
40	0.2800652422
41	0.2751508741
42	0.2705232869
43	0.2667555878
44	0.2627635882
45	0.2586024348
46	0.2547178143
47	0.2507627023
48	0.2477102856
49	0.2442941809
50	0.2407738274
51	0.2373210799
52	0.2341836617
53	0.231200813
54	0.2284749906
55	0.2257694316
56	0.2232849357
57	0.2206866237
58	0.2181818603
59	0.2160810883
60	0.2143304188
61	0.2119649092
62	0.2102301096
63	0.2081791117
64	0.2061974486
65	0.2043990348
66	0.2026380381
67	0.2009868562
68	0.199345813
69	0.1976326734
70	0.1964370107
71	0.1950787439
72	0.1936367152
73	0.1923778558
74	0.1912879315
75	0.190245737
76	0.1891090285
77	0.1880306849
78	0.1871183748
79	0.1862425113
80	0.1852272406
81	0.1844136221
82	0.183417126
83	0.1824510117
84	0.1816846439
85	0.1806614945
86	0.1795847427
87	0.178668587
88	0.1779989606
89	0.177498713
90	0.1768022297
91	0.1760062703
92	0.1753176362
93	0.1747052884
94	0.1740503113
95	0.1733051272
96	0.172712286
97	0.1720453155
98	0.1715639427
99	0.1709109748
100	0.1703113863
101	0.1696870354
102	0.1690534822
103	0.1685015766
104	0.1679424311
105	0.1674576775
106	0.1670492349
107	0.1664202636
108	0.1660017895
109	0.1655436825
110	0.1651111411
111	0.1646745641
112	0.1643940506
113	0.1641608374
114	0.1637145306
115	0.1632668483
116	0.162926446
117	0.1625497249
118	0.1622094387
119	0.1618025838
120	0.1615440629
121	0.161255642
122	0.1609199912
123	0.160554062
124	0.1603073037
125	0.1599287732
126	0.1596500294
127	0.1593846195
128	0.1591036682
129	0.1588709746
130	0.1585659635
131	0.1583236583
132	0.1580643484
133	0.1578188268
134	0.1575557512
135	0.1572438357
136	0.1570523133
137	0.1567614651
138	0.1565090668
139	0.156223618
140	0.15603061
141	0.1558106515
142	0.1555838677
143	0.155365413
144	0.1551702583
145	0.1549517293
146	0.1546593965
147	0.1544141302
148	0.1541874076
149	0.1539236665
150	0.1536999771
151	0.153454633
152	0.1533476775
153	0.1531191597
154	0.1528603604
155	0.1526289208
156	0.1523638869
157	0.1521538277
158	0.1519651782
159	0.1516375764
160	0.1513692346
161	0.1512397425
162	0.1509326296
163	0.1507581883
164	0.150573229
165	0.1503835945
166	0.1500973399
167	0.1498847057
168	0.1497093561
169	0.1495321633
170	0.1493424412
171	0.149213946
172	0.1491205899
173	0.148932585
174	0.1487879711
175	0.148549174
176	0.1482837289
177	0.1480782125
178	0.1478851211
179	0.1477739884
180	0.1475757254
181	0.1474064161
182	0.1473507347
183	0.147201555
184	0.147122833
185	0.1469419637
186	0.1467341923
187	0.1465808675
188	0.146418663
189	0.146368936
190	0.1461685083
191	0.1459788885
192	0.145799398
193	0.1455976932
194	0.1455016581
195	0.1453069163
196	0.1451195618
197	0.1449305312
198	0.1448019207
199	0.1446881313
200	0.1445596491
201	0.1444568155
202	0.1444026594
203	0.1442214683
204	0.1440007958
205	0.143797122
206	0.143690012
207	0.1434580351
208	0.1432902491
209	0.1431900704
210	0.1430248547
211	0.1429274781
212	0.1428311935
213	0.1426907036
214	0.1424851632
215	0.1423155439
216	0.1422545727
217	0.1421331668
218	0.1419737052
219	0.1419020024
220	0.1417390963
221	0.1415783914
222	0.1414587719
223	0.1413452064
224	0.1412467306
225	0.1411371797
226	0.1410101937
227	0.1408100501
228	0.1406508647
229	0.140500146
230	0.1404547212
231	0.1403462652
232	0.1402328105
233	0.1401264271
234	0.1398993301
235	0.1397507492
236	0.1396297056
237	0.1395248119
238	0.1393944175
239	0.1392852075
240	0.1392229534
241	0.13904498
242	0.1389015324
243	0.1387964326
244	0.1386494516
245	0.1385350541
246	0.1384272078
247	0.1382146991
248	0.138120324
249	0.137917539
250	0.1377515631
251	0.1376568659
252	0.1376140896
253	0.1375014672
254	0.1372859269
255	0.1371487188
256	0.1370536666
257	0.1368934622
258	0.1368116786
259	0.1366502713
260	0.136571556
261	0.1365265389
262	0.1364619842
263	0.1363252117
264	0.1361840056
265	0.1360201011
266	0.1359330381
267	0.1358820146
268	0.1356605376
269	0.1355261869
270	0.1352677855
271	0.1351577725
272	0.1350796413
273	0.1349755363
274	0.134811032
275	0.1346886473
276	0.1346216209
277	0.1344636678
278	0.1343947197
279	0.1343052478
280	0.1342611725
281	0.13416646
282	0.1339890698
283	0.1338786256
284	0.1337461612
285	0.1336298715
286	0.1334453255
287	0.1333645943
288	0.1332954924
289	0.1331555451
290	0.1330419542
291	0.1328807626
292	0.1327457972
293	0.1326699338
294	0.1325533719
295	0.1324523762
296	0.1323212858
297	0.1321830005
298	0.1320388765
299	0.1319283629
300	0.1318358162
301	0.1317176134
302	0.1315725939
303	0.1313684832
304	0.1312954791
305	0.1311022632
306	0.1310435368
307	0.1309642218
308	0.130861039
309	0.1307952766
310	0.1307128725
311	0.1306639141
312	0.1305379363
313	0.1304346307
314	0.1303306782
315	0.1302347553
316	0.1301395336
317	0.129952679
318	0.1298091276
319	0.1297501156
320	0.1296274455
321	0.1295126295
322	0.1294435785
323	0.1293124619
324	0.1292094786
325	0.129159546
326	0.1290819399
327	0.1289851429
328	0.1288616439
329	0.1287745967
330	0.1286089337
331	0.1285707781
332	0.128482146
333	0.1283938786
334	0.1282381198
335	0.1280787135
336	0.1279432398
337	0.1278312987
338	0.1278071403
339	0.1277309749
340	0.1276498353
341	0.1275241479
342	0.127381824
343	0.1273322109
344	0.1272648971
345	0.1271441563
346	0.1270827988
347	0.1269240646
348	0.1268140898
349	0.1267631215
350	0.1266383615
351	0.126571817
352	0.1264210982
353	0.126292975
354	0.1260978785
355	0.1259830853
356	0.1259039677
357	0.1258536697
358	0.1257286898
359	0.1256776775
360	0.1256224757
361	0.1255901265
362	0.1254828493
363	0.1254097676
364	0.1253064512
365	0.1252024784
366	0.1251270998
367	0.1250008918
368	0.1249123336
369	0.1247337278
370	0.1246601047
371	0.1245870559
372	0.1245234246
373	0.1243555093
374	0.124259428
375	0.1241677713
376	0.1240642076
377	0.1240077827
378	0.1239330123
379	0.1238438497
380	0.1237781845
381	0.1236924238
382	0.1235670716
383	0.1235444067
384	0.123403332
385	0.1232998614
386	0.1232313543
387	0.1231620645
388	0.1230855282
389	0.1229957956
390	0.1228370509
391	0.1227193082
392	0.1224882086
393	0.1224182671
394	0.1223045929
395	0.1222378593
396	0.1220589208
397	0.1219654981
398	0.1218255879
399	0.1217551663
400	0.1215831978
401	0.1214584428
402	0.1212800813
403	0.1212391537
404	0.1211602434
405	0.1210512499
406	0.1209455025
407	0.1208418013
408	0.1207786737
409	0.1206649357
410	0.1205698008
411	0.1204970667
412	0.120348267
413	0.1202973067
414	0.1202144293
415	0.1200809058
416	0.1199960206
417	0.11993414
418	0.119812473
419	0.1197509437
420	0.1196997102
421	0.1196294585
422	0.1195671638
423	0.1194999551
