name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hail, Saudi Arabia",2024-01-01,60.8,51.6,54.3,60.8,51.6,54.3,52.6,94.3,0,0,0,,0,0,12.3,6.9,150,1022.8,52.3,4.9,153.6,13.1,6,10,2024-01-01T07:03:34,2024-01-01T17:29:13,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-02,62.6,46.4,53.9,62.6,46.1,53.7,52.2,94.3,0.004,100,4.17,rain,0,0,23.5,13.9,212.7,1020.5,8.8,3.4,155,13.4,6,10,2024-01-02T07:03:50,2024-01-02T17:29:54,0.71,Rain,Clear conditions throughout the day with afternoon rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-03,59.3,42.8,52.2,59.3,40,52,48,86.7,0,0,0,,0,0,16.6,9.2,49.2,1021.3,35.1,4.2,126.6,11,5,10,2024-01-03T07:04:04,2024-01-03T17:30:36,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-04,64.4,41,52.1,64.4,41,52,45.4,80.1,0,0,0,,0,0,13.9,6.9,167.5,1022.1,1.9,5.1,178.6,15.4,7,10,2024-01-04T07:04:17,2024-01-04T17:31:19,0.75,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-05,69.8,46.4,56.7,69.8,42.9,56.1,44.7,66,0,0,0,,0,0,19.2,11.4,229.3,1021.2,27,6.2,155.4,13.4,6,10,2024-01-05T07:04:29,2024-01-05T17:32:02,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-06,64.7,49.8,57.3,64.7,49.8,57.3,48.8,74.5,0,0,0,,0,0,15.2,9.2,54.2,1024,13.1,6.1,153.6,13,6,10,2024-01-06T07:04:39,2024-01-06T17:32:46,0.83,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-07,68,46.4,57,68,46.4,57,46.9,70.1,0,0,0,,0,0,16.6,6.9,146.9,1024.6,9.1,6.2,173.2,15.1,7,10,2024-01-07T07:04:47,2024-01-07T17:33:30,0.87,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-08,73.4,48.2,59.9,73.4,44.1,59.6,46.1,63.2,0,0,0,,0,0,19.9,11.4,227.5,1024,0,6.2,179,15.6,7,10,2024-01-08T07:04:54,2024-01-08T17:34:15,0.9,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-09,71.6,48.2,60.2,71.6,45.1,59.8,42.6,55.8,0,0,0,,0,0,23.3,13.9,198.7,1021.3,51.7,6.2,169.4,14.6,7,10,2024-01-09T07:05:00,2024-01-09T17:35:01,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-10,75.2,51.8,62.9,75.2,51.8,62.9,37.1,39.8,0,0,0,,0,0,20.1,16.1,242.7,1018.2,35.9,6.2,179.7,15.6,7,10,2024-01-10T07:05:04,2024-01-10T17:35:47,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-11,69.8,51.8,60.4,69.8,51.8,60.4,43.9,55.9,0,0,0,,0,0,22.4,18.3,262.1,1016.4,7.2,6.2,183.1,15.8,7,10,2024-01-11T07:05:06,2024-01-11T17:36:33,0,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-12,66.2,42.8,55.1,66.2,42.8,55.1,36.9,53.3,0,0,0,,0,0,10.3,9.2,132.9,1017,20.7,6.2,187.6,16.4,7,10,2024-01-12T07:05:07,2024-01-12T17:37:20,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2024-01-13,71.6,44.6,55.7,71.6,40.7,55,32.9,46.1,0,0,0,,0,0,18.3,9.2,215.5,1015.8,82.1,6.2,182.6,15.7,7,10,2024-01-13T07:05:06,2024-01-13T17:38:08,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"40394099999,OEHL"
