name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Hail, Saudi Arabia",2023-01-01,59.3,48.2,50.1,59.3,43,48.4,48.5,94.6,0.107,100,33.33,rain,0,0,23,13.9,92.7,1026.1,86.5,2.5,76.3,6.5,3,10,2023-01-01T07:03:37,2023-01-01T17:29:23,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-02,51.8,46.4,49.2,51.8,41.9,47.8,49.2,99.9,0.156,100,54.17,rain,0,0,26.2,11.4,106,1025.2,96.3,1.6,84.6,7.4,4,10,2023-01-02T07:03:53,2023-01-02T17:30:04,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-03,57.2,51.8,54.1,57.2,51.8,54.1,52.3,94.2,0.359,100,45.83,rain,0,0,32.2,16.1,175.7,1023.7,88.2,4.5,116.9,10.1,5,10,2023-01-03T07:04:07,2023-01-03T17:30:46,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-04,60.8,50,54.8,60.8,50,54.8,48.9,81.4,0.208,100,16.67,rain,0,0,27.7,20.8,246.2,1017.6,30.1,6.1,177.2,15.2,7,10,2023-01-04T07:04:20,2023-01-04T17:31:29,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-05,53.9,42.8,47.4,53.9,37.5,45.6,38.7,72.7,0,0,0,,0,0,21.3,9.2,313.3,1021.3,19.7,6.2,176,15.2,7,10,2023-01-05T07:04:31,2023-01-05T17:32:12,0.45,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-06,57.2,37.4,46.6,57.2,32.1,45.7,35.7,66.6,0,0,0,,0,0,8.9,6.9,150.3,1023.4,0.3,6.2,182.1,15.7,7,10,2023-01-06T07:04:41,2023-01-06T17:32:56,0.48,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-07,59,37.2,48.3,59,33.5,47.5,36.7,68.3,0,0,0,,0,0,11.6,11.4,221.8,1023.1,19.8,6.2,180.8,15.7,7,10,2023-01-07T07:04:49,2023-01-07T17:33:41,0.5,Clear,Clear conditions throughout the day.,clear-day,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-08,61.1,41,52.2,61.1,37.9,51.7,43.6,73.5,0.02,100,8.33,rain,0,0,18.1,18.3,204.6,1020.2,50.5,6.1,156.5,13.5,7,10,2023-01-08T07:04:55,2023-01-08T17:34:26,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-09,59.3,50,54.6,59.3,50,54.6,50.7,87,0.1,100,37.5,rain,0,0,35.1,20.8,247.8,1016.1,58.5,5.9,107.5,9.2,4,10,2023-01-09T07:05:01,2023-01-09T17:35:11,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"40394099999,OEHL"
"Hail, Saudi Arabia",2023-01-10,48.2,44.6,46,46.3,36.9,42.3,39.7,78.7,0.016,100,16.67,rain,0,0,25.7,18.3,358.8,1023.1,81.6,6.2,70,6.1,3,10,2023-01-10T07:05:04,2023-01-10T17:35:58,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"40394099999,OEHL"
